student_id,department,cgpa,backlogs,internships,projects_completed,certifications,communication_score,aptitude_score,technical_score,attendance_percent,skills,placed,company,role_offered,package_lpa
S1026,Information Technology,8.6,0,2,3,0,4.8,68.0,49.2,82.6,Power BI;Excel;AWS;DSA;Machine Learning;DBMS;Communication,0,,,
S1027,Mechanical,6.95,0,1,2,1,6.6,73.8,65.1,77.0,OS;Java;DSA;Power BI;AWS;Communication;Python,1,Capgemini,Business Analyst,8.04
S1028,Civil,6.88,0,2,1,0,8.1,86.8,66.5,86.7,Python;Java;Excel;C++,1,TCS,Business Analyst,7.02
S1029,Computer Science,6.8,0,2,4,1,5.9,82.4,88.0,78.5,AWS;Communication;Java,1,Deloitte,Business Analyst,9.81
S1030,Electronics,7.32,0,2,2,0,7.3,63.0,61.7,86.8,OS;DSA;Networking;SQL;React;C++;Problem Solving;AWS,1,Google,Cloud Engineer,7.05
S1031,Information Technology,6.9,0,1,3,2,5.8,64.9,22.4,96.2,Java;C++;DBMS,0,,,
S1032,Electronics,6.56,0,2,2,0,6.4,68.7,50.9,78.2,DBMS;OS;Excel;Python;C++;Java,1,TCS,Cloud Engineer,7.36
S1033,Electrical,8.34,2,3,3,1,6.1,69.7,86.6,88.9,Power BI;AWS;Java;DSA;Excel,1,Accenture,Support Engineer,10.59
S1034,Information Technology,7.03,0,0,1,0,6.8,84.1,73.9,85.9,SQL;Machine Learning;OS;DSA;Java;Power BI,1,Deloitte,Data Analyst,6.66
S1035,Computer Science,7.92,0,3,0,1,6.2,66.0,77.7,85.8,Networking;AWS;Python;Java;DSA;SQL;DBMS;OS,1,Google,Business Analyst,9.26
S1036,Mechanical,8.61,0,1,2,1,8.1,63.3,77.6,70.4,SQL;DBMS;Python,1,Microsoft,QA Engineer,9.72
S1037,Mechanical,5.39,0,0,4,3,6.1,73.6,77.5,87.9,DBMS;Excel;AWS;Networking;C++,1,TechMahindra,Support Engineer,7.74
S1038,Information Technology,8.36,3,0,2,3,6.1,28.2,43.8,81.1,Machine Learning;DSA;Python;React,0,,,
S1039,Electrical,7.25,1,3,4,4,5.3,62.9,62.2,86.1,Python;Excel;Communication;Problem Solving;AWS;React;OS,1,Deloitte,System Engineer,10.91
S1040,Computer Science,8.69,0,0,3,2,7.0,82.3,78.5,83.3,Java;AWS;SQL;Problem Solving;React;Excel;DSA,1,Microsoft,Data Analyst,9.68
S1041,Civil,8.53,0,0,1,0,8.3,38.6,38.7,65.7,React;Problem Solving;Python;AWS,0,,,
S1042,Computer Science,7.48,0,1,2,2,3.8,64.8,74.3,79.7,C++;React;AWS;Networking;Communication;Machine Learning,0,,,
S1043,Information Technology,5.8,0,0,2,0,7.3,50.9,50.8,73.5,Excel;Communication;DSA;Machine Learning;DBMS;SQL;Problem Solving;OS,1,Amazon,Data Analyst,6.57
S1044,Computer Science,7.01,0,0,0,0,5.7,56.6,34.2,80.5,React;Problem Solving;Java;Power BI;Networking;DSA,0,,,
S1045,Civil,9.07,0,2,2,0,6.8,63.3,56.0,86.9,SQL;Communication;Java;DSA;AWS,1,Cognizant,System Engineer,10.04
S1046,Mechanical,6.81,0,1,2,2,5.1,77.8,42.2,82.2,Excel;Machine Learning;React;C++;Networking;Python;Problem Solving,1,Cognizant,Data Analyst,7.75
S1047,Information Technology,7.18,0,0,1,1,5.5,49.1,48.2,75.8,Java;Problem Solving;Excel;Networking;SQL,1,Cognizant,QA Engineer,6.27
S1048,Civil,8.82,0,1,0,2,8.0,49.4,56.6,75.0,Excel;Communication;DSA;C++,1,IBM,QA Engineer,7.84
S1049,Civil,5.58,3,1,1,0,8.1,58.1,48.7,78.9,Machine Learning;AWS;Python;Java;C++;DBMS,0,,,
S1050,Electronics,6.93,0,2,0,1,7.3,63.7,64.3,84.2,Python;Communication;Power BI,1,Wipro,QA Engineer,7.77
S1051,Information Technology,6.42,1,1,2,0,5.9,73.6,46.3,67.6,OS;Networking;Excel;DBMS;AWS;Python;Java;C++,0,,,
S1052,Electrical,6.89,0,0,2,0,6.4,100.0,31.0,80.8,Networking;Python;Communication;React,1,Deloitte,System Engineer,5.68
S1053,Mechanical,8.21,0,1,3,1,6.0,38.4,41.4,83.4,Python;Machine Learning;Communication;Problem Solving,1,Amazon,Business Analyst,8.52
S1054,Electrical,7.38,0,2,1,1,6.6,60.2,54.3,86.3,C++;Java;Communication;Networking,1,Microsoft,System Engineer,8.6
S1055,Information Technology,8.08,0,2,2,1,6.3,80.8,44.8,69.4,Power BI;Problem Solving;SQL;DBMS,1,TCS,System Engineer,8.73
S1056,Electrical,8.05,1,1,1,2,3.7,70.1,52.5,87.1,Power BI;DBMS;Problem Solving;C++;DSA,0,,,
S1057,Electronics,9.34,0,0,1,0,8.9,71.0,53.7,88.6,Power BI;Excel;Java;DBMS,1,TCS,Support Engineer,8.12
S1058,Information Technology,6.42,0,0,1,3,4.5,69.2,40.9,77.9,AWS;OS;Communication;Machine Learning,0,,,
S1059,Information Technology,5.7,0,3,1,1,8.9,62.0,60.8,96.3,Python;C++;DSA;DBMS,0,,,
S1060,Electronics,7.83,0,0,2,1,7.1,66.5,58.4,88.2,AWS;Java;Power BI;Machine Learning;Communication,1,IBM,Cloud Engineer,7.6
S1061,Electrical,8.28,0,1,0,1,8.0,30.2,55.9,87.0,Communication;Python;Java;Machine Learning;SQL;React;Excel,1,TCS,Data Analyst,7.72
S1062,Civil,8.8,0,1,1,0,3.0,64.2,55.8,87.6,Communication;Excel;Power BI;Problem Solving;DBMS;React,1,Deloitte,Data Analyst,7.83
S1063,Mechanical,7.77,2,0,2,0,6.8,67.4,47.8,83.2,DSA;Machine Learning;Python;Excel;DBMS;Power BI;Networking,1,Deloitte,Business Analyst,7.17
S1064,Electronics,7.17,0,0,0,1,8.7,25.1,22.6,72.1,Java;C++;Communication;React;Power BI;Problem Solving,0,,,
S1065,Electrical,6.99,1,3,2,0,6.3,48.3,91.5,89.5,Networking;Machine Learning;C++;DBMS;Communication,1,Microsoft,QA Engineer,9.78
S1066,Civil,6.67,0,0,1,1,5.8,46.7,72.8,80.1,DSA;DBMS;C++;AWS,0,,,
S1067,Electrical,6.96,1,2,2,1,7.6,60.4,65.9,72.0,Problem Solving;SQL;React;Power BI;Machine Learning;DBMS;Networking;Python,1,Cognizant,QA Engineer,7.39
S1068,Information Technology,6.57,0,1,1,1,3.9,90.4,63.8,81.2,Power BI;React;AWS;C++;Communication;OS,1,Google,Support Engineer,7.42
S1069,Electrical,7.27,0,1,0,0,9.8,75.1,48.8,78.7,Networking;OS;Power BI;Excel,0,,,
S1070,Information Technology,7.32,0,0,0,1,7.3,40.6,69.9,98.0,Java;Machine Learning;Networking;C++;Excel;React;Communication;Problem Solving,0,,,
S1071,Information Technology,7.95,0,0,1,3,5.4,72.7,57.2,88.5,Machine Learning;DSA;Power BI;AWS;SQL;Python;React;Excel,1,Google,Data Analyst,7.47
S1072,Mechanical,7.32,0,2,0,1,4.7,53.0,84.1,74.9,Problem Solving;C++;React;DSA;DBMS;OS,1,Microsoft,Business Analyst,7.65
S1073,Information Technology,9.67,0,3,3,0,6.0,66.8,100.0,81.2,Excel;Python;Power BI;Java;DBMS;DSA;SQL;OS,1,TCS,Business Analyst,11.69
S1074,Computer Science,7.52,0,2,2,1,7.8,56.6,71.4,89.8,SQL;Power BI;OS;C++;Networking;Excel,1,Capgemini,Data Scientist,7.69
S1075,Mechanical,8.33,0,3,1,2,8.3,66.8,74.7,86.9,AWS;Excel;Networking;DBMS;Power BI;OS;SQL,1,TechMahindra,Support Engineer,10.59
S1076,Mechanical,7.71,0,1,1,2,7.4,68.1,64.9,71.8,Power BI;DSA;C++;Machine Learning;Networking,0,,,
S1077,Mechanical,7.7,2,3,2,2,6.5,43.9,69.0,73.7,DSA;Machine Learning;OS;Java;AWS;Problem Solving;C++;Communication,0,,,
S1078,Electronics,8.45,0,0,2,1,8.0,69.2,35.7,86.7,Java;SQL;AWS;DSA;DBMS;Power BI;Excel,1,Infosys,Cloud Engineer,7.72
S1079,Mechanical,8.26,1,2,4,1,6.1,27.7,76.6,84.5,Networking;OS;DBMS;Python;DSA,0,,,
S1080,Mechanical,6.9,0,2,1,0,8.8,44.8,43.5,74.0,Problem Solving;Power BI;React;Excel;Python;AWS,1,Microsoft,Support Engineer,6.62
S1081,Computer Science,5.56,0,0,4,1,5.1,79.8,56.1,81.6,Machine Learning;Power BI;DBMS;AWS;Networking,1,TechMahindra,Business Analyst,6.48
S1082,Mechanical,8.35,0,0,1,0,9.1,73.3,48.8,78.0,Machine Learning;DBMS;OS;Python,0,,,
S1083,Mechanical,7.15,1,3,4,0,8.8,56.4,45.0,85.8,C++;Problem Solving;Power BI;DBMS;SQL,1,Google,System Engineer,8.41
S1084,Civil,6.67,0,1,2,0,6.3,73.8,69.8,90.7,Python;DBMS;React;Power BI;C++;Problem Solving;Java,1,IBM,Cloud Engineer,6.99
S1085,Information Technology,6.58,0,0,3,1,7.8,49.1,0.0,75.0,SQL;Python;Machine Learning;DBMS;Communication;DSA,0,,,
S1086,Mechanical,6.86,0,1,1,5,8.3,72.5,75.4,90.1,Communication;Power BI;DBMS;Machine Learning;AWS,1,Cognizant,Data Analyst,9.25
S1087,Mechanical,7.15,0,2,1,3,7.0,77.3,33.2,82.2,Excel;Networking;Python,1,Amazon,Business Analyst,7.9
S1088,Electrical,7.88,0,0,3,2,9.8,74.1,63.4,78.4,Power BI;C++;Python,1,TCS,Business Analyst,8.38
S1089,Information Technology,6.97,0,0,2,0,7.0,70.5,50.5,81.0,React;SQL;DSA,0,,,
S1090,Information Technology,5.47,0,1,1,2,7.4,57.5,41.6,87.7,C++;Java;React;DSA;OS;Machine Learning,0,,,
S1091,Electronics,8.31,0,3,1,2,8.6,46.6,89.9,89.2,React;Problem Solving;Excel;Power BI,1,Infosys,System Engineer,10.25
S1092,Electronics,6.17,1,1,4,0,8.8,70.1,68.2,86.6,React;Python;Machine Learning,1,Capgemini,Cloud Engineer,7.49
S1093,Mechanical,6.45,0,3,2,2,7.3,70.6,46.4,71.1,DSA;Java;React;Excel;C++;Problem Solving;AWS;Machine Learning,1,IBM,Data Analyst,7.94
S1094,Civil,7.42,0,2,1,1,5.8,62.4,47.6,100.0,Communication;Networking;DBMS,1,IBM,Data Scientist,7.58
S1095,Computer Science,8.01,0,0,2,0,7.4,64.9,39.1,94.0,C++;Communication;Python;DBMS;OS;Java;Excel,1,Amazon,Support Engineer,7.62
S1096,Electrical,6.51,0,0,0,1,6.9,92.0,71.5,77.4,DBMS;SQL;Excel;Networking,1,IBM,QA Engineer,6.38
S1097,Civil,7.55,0,0,4,0,5.7,92.2,66.4,85.1,Power BI;OS;AWS;DBMS;React;Machine Learning;Communication,1,Accenture,Data Analyst,8.23
S1098,Electronics,8.24,0,2,2,2,6.1,91.0,63.6,76.8,DSA;Power BI;OS;React;Excel;DBMS,1,Amazon,Software Engineer,9.2
S1099,Mechanical,6.37,0,1,2,2,6.1,48.1,70.2,78.0,SQL;OS;DSA;Communication;Machine Learning,1,Amazon,QA Engineer,7.46
S1100,Civil,7.07,1,2,3,1,4.5,41.6,96.0,81.2,Problem Solving;Machine Learning;Networking;Python;Power BI;DSA;Java;React,0,,,
S1101,Electrical,8.9,1,1,1,2,8.9,85.7,48.7,85.2,OS;Networking;Power BI;DSA;Problem Solving;C++,1,Google,Software Engineer,9.08
S1102,Computer Science,7.04,0,0,4,1,8.4,38.9,53.5,73.0,DSA;DBMS;Excel;Problem Solving;Machine Learning,0,,,
S1103,Electrical,8.03,0,2,1,2,5.1,33.6,64.6,79.9,Communication;OS;Networking;Power BI;Problem Solving;DBMS;Excel,1,Amazon,Data Scientist,9.76
S1104,Electrical,8.65,0,0,0,2,8.0,70.7,67.7,90.2,Machine Learning;Problem Solving;AWS;DSA;Java;Excel,1,Amazon,Data Analyst,8.28
S1105,Electrical,7.01,0,1,4,0,6.0,63.0,41.4,80.5,Power BI;Excel;SQL;DSA;AWS;OS;Machine Learning,1,TechMahindra,QA Engineer,7.71
S1106,Computer Science,8.12,0,1,2,1,7.3,50.9,71.6,84.2,Machine Learning;DSA;Communication;SQL,1,Cognizant,Software Engineer,8.3
S1107,Electrical,7.13,0,2,4,2,7.1,68.0,78.9,90.8,SQL;Machine Learning;Python;Power BI;Networking;AWS;Problem Solving,1,IBM,Support Engineer,10.11
S1108,Computer Science,6.32,0,0,3,1,9.1,64.0,65.9,84.6,React;Machine Learning;OS,1,Google,Support Engineer,6.91
S1109,Electronics,7.81,0,0,3,3,7.3,62.7,62.3,80.6,Python;Machine Learning;OS;Java,1,Infosys,Cloud Engineer,8.43
S1110,Mechanical,6.15,0,1,2,0,4.5,45.6,49.2,83.4,React;C++;AWS,1,TCS,System Engineer,5.8
S1111,Information Technology,6.68,0,2,2,1,10.0,47.6,32.4,93.6,Machine Learning;Java;DSA;AWS;Networking;DBMS;Power BI,1,Deloitte,Cloud Engineer,6.12
S1112,Mechanical,8.55,1,2,4,0,7.6,76.4,65.1,82.8,Machine Learning;AWS;React;DBMS;Problem Solving;Power BI,1,Capgemini,Software Engineer,9.86
S1113,Civil,7.13,0,1,1,0,7.6,79.6,48.9,66.7,Java;Power BI;DSA;C++;AWS;Machine Learning;Problem Solving;SQL,1,Accenture,System Engineer,7.03
S1114,Civil,6.41,0,0,1,1,8.1,92.7,64.0,83.3,SQL;Python;DBMS,1,Google,Support Engineer,5.54
S1115,Electronics,7.28,1,1,0,3,7.6,60.7,67.2,86.0,DSA;Machine Learning;Excel,1,Cognizant,Support Engineer,6.97
S1116,Computer Science,6.18,0,0,3,1,5.8,68.6,45.9,99.8,DSA;Machine Learning;Power BI;C++;React;Problem Solving;DBMS;Java,1,Deloitte,Business Analyst,5.39
S1117,Electrical,7.87,0,0,0,2,7.4,56.6,35.3,81.3,Problem Solving;Machine Learning;SQL;Java,0,,,
S1118,Computer Science,9.62,0,1,2,2,7.2,57.0,30.8,86.5,Power BI;Machine Learning;React;Excel,1,Capgemini,QA Engineer,9.12
S1119,Mechanical,6.39,0,1,0,1,5.9,75.5,78.6,82.9,OS;Excel;Machine Learning,1,TechMahindra,Cloud Engineer,5.48
S1120,Electronics,7.64,0,1,4,2,5.8,64.2,70.0,82.6,Networking;OS;AWS;Java;React;Python;DBMS,1,TechMahindra,Data Scientist,8.48
S1121,Civil,7.87,0,0,2,1,8.3,74.1,40.3,79.5,Python;Java;DSA;C++;React,0,,,
S1122,Civil,7.37,1,1,2,0,7.9,57.1,66.5,86.0,Power BI;C++;Machine Learning,0,,,
S1123,Civil,7.82,0,0,1,1,6.9,75.6,44.7,69.2,Power BI;Problem Solving;SQL,1,Google,Support Engineer,7.22
S1124,Electronics,9.54,1,1,4,1,6.2,82.5,70.2,86.8,React;DBMS;C++;OS,1,Infosys,Support Engineer,10.44
S1125,Electronics,6.62,0,1,1,3,10.0,60.5,48.3,86.2,Communication;Problem Solving;C++;Java;SQL;AWS,1,Microsoft,Support Engineer,6.43
S1126,Electronics,7.03,0,0,0,0,6.9,72.9,58.7,85.9,DBMS;AWS;Power BI;Networking;Python;OS;Java;Communication,1,Cognizant,Data Scientist,4.27
S1127,Computer Science,7.56,0,1,1,2,5.8,64.1,49.9,78.7,AWS;Networking;Python;C++;Problem Solving;OS,1,Microsoft,Software Engineer,7.33
S1128,Information Technology,7.03,0,0,2,3,7.5,99.3,41.2,80.3,Communication;React;Power BI;OS;C++;Excel;Python,0,,,
S1129,Information Technology,6.07,0,1,3,2,6.5,56.4,13.4,77.6,Networking;SQL;Machine Learning;OS;Excel,1,Infosys,Software Engineer,6.47
S1130,Electrical,6.41,0,1,3,0,6.8,47.1,59.3,91.3,Power BI;DSA;Excel;SQL;Machine Learning;Networking;Python,1,Deloitte,Cloud Engineer,6.44
S1131,Computer Science,6.07,0,2,4,2,4.5,55.9,92.9,87.4,AWS;Java;OS;Problem Solving,1,IBM,System Engineer,8.43
S1132,Mechanical,7.22,0,1,4,2,8.1,47.1,61.1,82.7,Machine Learning;Networking;Excel;Problem Solving;DBMS;OS;React;DSA,1,Google,System Engineer,9.55
S1133,Mechanical,6.97,0,0,4,1,7.1,50.3,36.1,87.4,Problem Solving;React;Networking;Excel,1,Wipro,Data Analyst,7.64
S1134,Electronics,8.37,0,0,0,1,7.8,74.1,83.6,72.0,Communication;Power BI;Networking;Machine Learning;Python;Excel,1,TechMahindra,QA Engineer,7.65
S1135,Civil,8.5,0,1,0,2,7.6,65.9,64.8,94.2,C++;OS;SQL;AWS;Networking;Excel;Communication,1,Amazon,Cloud Engineer,8.85
S1136,Mechanical,6.53,0,3,1,1,7.3,95.8,40.1,80.2,AWS;DSA;Excel;Problem Solving;React,1,Microsoft,Business Analyst,7.36
S1137,Mechanical,6.09,1,2,3,1,8.1,61.3,88.9,85.9,Communication;Excel;OS,1,TechMahindra,Cloud Engineer,8.55
S1138,Mechanical,6.37,0,3,4,0,7.5,63.6,58.5,88.5,Power BI;AWS;C++;SQL;OS;Python;Excel;Communication,1,Infosys,Support Engineer,8.75
S1139,Computer Science,8.41,0,1,2,1,6.8,92.2,71.2,84.6,Problem Solving;OS;Python;Excel;SQL;DBMS;C++,1,Infosys,Support Engineer,9.48
S1140,Electronics,7.18,0,0,3,1,5.1,84.3,52.4,84.1,React;Excel;DBMS;C++;Java,1,Amazon,Cloud Engineer,6.32
S1141,Electronics,6.22,0,2,2,0,7.4,53.2,71.7,81.0,Excel;Power BI;OS;Networking;Python;React;Java;DSA,1,IBM,QA Engineer,7.58
S1142,Information Technology,6.89,1,3,2,2,5.7,39.5,86.2,95.4,Java;DBMS;Problem Solving;C++;Power BI;OS;SQL;Machine Learning,1,TCS,Software Engineer,8.87
S1143,Electronics,5.93,0,0,2,2,8.6,88.1,96.1,98.5,Machine Learning;Communication;AWS,1,Microsoft,System Engineer,7.58
S1144,Information Technology,6.74,1,1,0,0,8.0,81.7,48.3,89.6,DBMS;React;C++;SQL;Excel;Power BI;Java,1,Capgemini,Cloud Engineer,6.54
S1145,Civil,6.27,0,1,0,0,6.5,87.7,71.4,73.8,DSA;OS;React;SQL;Problem Solving;AWS;Machine Learning;Power BI,1,Cognizant,Software Engineer,7.28
S1146,Mechanical,6.99,0,2,2,2,7.2,43.8,38.9,77.8,C++;Networking;SQL;Java;OS,1,Amazon,QA Engineer,8.33
S1147,Electrical,7.59,0,1,4,1,6.6,62.1,85.0,73.1,Excel;Machine Learning;OS;AWS;DSA;DBMS,1,Google,Data Analyst,9.05
S1148,Information Technology,7.28,0,2,3,0,9.3,50.0,65.4,88.1,React;Communication;Problem Solving;Machine Learning;Excel;Python,0,,,
S1149,Electrical,8.4,0,0,1,0,7.3,61.7,44.9,74.6,Machine Learning;Python;React;C++;AWS;Power BI,0,,,
S1150,Electrical,8.64,0,1,0,0,6.4,28.6,75.9,87.9,AWS;Machine Learning;Power BI;DSA;React;Communication,1,Accenture,Business Analyst,8.23
S1151,Civil,7.52,0,3,0,1,6.9,76.9,37.4,84.3,C++;Power BI;Excel;Problem Solving;AWS,1,Wipro,Data Analyst,7.25
S1152,Electrical,7.37,0,0,1,0,7.3,74.5,51.9,90.1,Python;Machine Learning;Power BI;OS;Problem Solving;React;Communication;SQL,1,Infosys,QA Engineer,8.07
S1153,Electronics,7.69,0,2,2,0,7.8,48.9,7.4,85.5,DBMS;SQL;DSA;AWS;Networking;Communication;C++;Machine Learning,1,Wipro,QA Engineer,7.91
S1154,Mechanical,8.89,0,0,2,2,5.4,55.6,70.8,76.3,Excel;AWS;Communication;Java;OS,1,Infosys,System Engineer,8.71
S1155,Information Technology,7.41,0,2,4,1,9.1,69.8,59.4,81.5,Excel;C++;DBMS;Networking;Communication;Java;Power BI;Python,1,Cognizant,Data Analyst,8.57
S1156,Mechanical,7.14,0,1,3,1,10.0,37.5,63.6,84.9,C++;Excel;Problem Solving;Machine Learning;React,1,Microsoft,Data Scientist,8.77
S1157,Computer Science,6.9,1,1,1,2,8.6,60.0,52.7,74.4,DSA;OS;Python;React;Networking;Communication;Problem Solving;Java,1,IBM,Support Engineer,7.42
S1158,Electrical,6.64,1,2,2,3,7.1,49.1,67.7,80.5,C++;DBMS;Java;SQL;Python,1,TCS,QA Engineer,8.97
S1159,Mechanical,7.33,0,2,4,0,6.4,52.9,70.7,84.2,Java;DSA;Networking,1,Wipro,Cloud Engineer,9.09
S1160,Mechanical,6.39,0,2,2,1,8.4,57.5,77.9,86.4,C++;Excel;AWS;Networking;DBMS,1,Capgemini,System Engineer,7.36
S1161,Mechanical,7.08,0,0,2,3,6.3,63.5,82.1,82.3,Java;AWS;OS;React;DBMS;Machine Learning;Python;Communication,1,Accenture,Support Engineer,7.95
S1162,Mechanical,6.24,0,0,1,1,8.5,57.4,74.0,93.0,AWS;Communication;Java;C++,1,Amazon,Data Scientist,6.75
S1163,Computer Science,6.4,0,0,3,5,5.9,69.1,71.7,74.3,Machine Learning;DSA;Java;OS;Power BI;AWS,1,IBM,Software Engineer,7.93
S1164,Computer Science,8.3,0,1,4,0,6.6,57.0,58.4,84.7,DSA;SQL;Power BI;React;Problem Solving,1,Infosys,Business Analyst,9.05
S1165,Civil,6.91,1,2,3,0,7.9,78.3,50.5,87.3,AWS;Problem Solving;DSA;Communication,1,Wipro,Software Engineer,7.6
S1166,Electronics,7.63,0,0,0,1,9.4,40.9,74.0,90.4,SQL;Networking;Machine Learning;Problem Solving,1,Infosys,Software Engineer,6.58
S1167,Information Technology,8.16,1,0,0,0,9.2,66.1,80.9,74.6,Communication;Power BI;AWS,1,Accenture,Data Scientist,7.61
S1168,Computer Science,7.54,1,2,2,1,7.7,55.2,27.0,86.1,Machine Learning;Python;SQL;Excel,0,,,
S1169,Mechanical,8.54,0,1,2,2,5.4,65.5,55.4,62.8,Java;Excel;Problem Solving;OS;AWS;Communication;Networking,1,Capgemini,Data Analyst,9.07
S1170,Mechanical,7.8,0,1,2,0,5.8,45.2,49.0,81.7,DSA;React;Python;Excel;C++;Networking;Machine Learning,1,Google,Software Engineer,7.57
S1171,Computer Science,5.44,0,1,1,0,6.5,65.1,79.5,77.4,AWS;DBMS;Problem Solving;C++;Java;OS,1,TechMahindra,Support Engineer,4.76
S1172,Computer Science,7.4,1,1,0,1,6.9,32.6,59.7,90.6,Communication;React;SQL,1,Infosys,System Engineer,6.78
S1173,Electronics,5.94,0,1,4,2,6.1,67.2,89.0,89.2,C++;React;Networking;Excel;Communication;DBMS;Power BI,1,Cognizant,Support Engineer,7.43
S1174,Civil,5.31,0,0,2,1,6.5,55.2,63.0,85.5,DBMS;Java;Power BI;Excel;AWS;Networking;DSA,1,Microsoft,Support Engineer,6.09
S1175,Information Technology,5.74,0,1,4,3,5.2,66.6,59.4,80.3,Communication;AWS;OS;DBMS;Excel;Java,1,Amazon,Cloud Engineer,9.01
S1176,Electronics,6.86,0,0,2,1,8.2,71.4,48.4,96.2,Machine Learning;Communication;SQL;C++;OS;Java;React;Networking,1,Infosys,Cloud Engineer,5.93
S1177,Computer Science,6.31,0,1,3,3,7.9,38.8,83.5,68.7,Excel;Communication;Power BI;SQL;Networking;Python;C++;AWS,1,IBM,Data Analyst,7.51
S1178,Mechanical,8.63,0,1,1,2,6.9,62.6,34.6,91.7,AWS;C++;Power BI;DBMS;Python,1,Cognizant,QA Engineer,7.35
S1179,Electronics,6.57,0,1,2,0,6.8,69.2,45.4,85.4,React;Networking;DSA,1,Wipro,Support Engineer,6.52
S1180,Information Technology,6.87,2,1,0,0,5.3,59.6,27.5,79.2,Communication;AWS;Networking,0,,,
S1181,Electronics,7.93,0,2,4,0,6.3,63.4,68.1,69.4,Power BI;Machine Learning;React,1,Accenture,Cloud Engineer,8.72
S1182,Civil,7.46,0,2,3,1,5.1,53.2,48.8,80.7,React;C++;AWS;Networking;Python;Problem Solving;Machine Learning,1,TCS,System Engineer,8.26
